Year,Commodity,State,Yield_lb_per_acre,Acres_Harvested,Price_in_CWT,HUMIDITY_%,PH_soil_type,Population
2013,WHEAT,INDIANA,4380,"435,000",11.3333,71,5.8330,6570.575
2022,OATS,IOWA,2624,"40,000",16.9063,69,5.5685,3199.693
2021,OATS,IOWA,2464,"52,000",13.2813,69,5.6454,3197.944
2020,OATS,IOWA,2496,"73,000",9.9688,71,5.8212,3190.904
2019,OATS,IOWA,1856,"69,000",11.0313,71,5.6593,3190.904
2018,OATS,IOWA,2016,"33,000",9.1563,68,5.9455,3149.9
2017,OATS,IOWA,2464,"42,000",7.9375,70,5.9512,3143.734
2016,OATS,IOWA,2432,"43,000",7.8750,68,5.5209,3133.21
2015,OATS,IOWA,2336,"57,000",8.0313,67,5.5784,3122.541
2014,OATS,IOWA,2048,"55,000",11.2500,67,5.6082,3110.643
2013,OATS,IOWA,2112,"60,000",12.2813,69,5.6094,3093.935
2022,CORN,IOWA,11200,"12,350,000",11.8214,69,5.5093,3199.693
2021,CORN,IOWA,11424,"12,450,000",10.8929,69,5.9020,3197.944
2020,CORN,IOWA,9912,"12,900,000",8.2857,69,5.7441,3190.904
2019,CORN,IOWA,11088,"12,950,000",6.2500,71,5.7171,3159.596
2018,CORN,IOWA,10976,"12,750,000",6.4643,71,5.5427,3149.9
2017,CORN,IOWA,11312,"12,900,000",6.5000,68,5.8586,3143.734
2016,CORN,IOWA,11368,"13,500,000",,70,5.6188,3133.21
2015,CORN,IOWA,10752,"13,050,000",6.9107,68,5.6066,3122.541
2014,CORN,IOWA,9968,"13,300,000",8.3571,67,5.5822,3110.643
2013,CORN,IOWA,9184,"13,050,000",7.3750,67,5.5650,3093.935
2018,WHEAT,IOWA,3480,"6,000",7.3333,69,5.8896,3149.9
2017,WHEAT,IOWA,4080,"8,000",6.6667,69,5.9341,3143.734
2016,WHEAT,IOWA,3780,"17,000",6.5000,70,5.6835,3133.21
2015,WHEAT,IOWA,3120,"15,000",6.9167,71,5.7084,3122.541
2014,WHEAT,IOWA,2940,"15,000",8.5000,72,5.9482,3110.643
2013,WHEAT,IOWA,3120,"21,000",9.5833,66,5.7748,3093.935
2022,OATS,KANSAS,1312,"25,000",15.6563,67,5.9723,2936.716
2021,OATS,KANSAS,1600,"20,000",13.9375,68,5.5321,2937.946
2020,OATS,KANSAS,1664,"16,000",9.5313,64,5.6696,2938.124
2019,OATS,KANSAS,2048,"18,000",10.6250,62,5.6557,2938.124
2018,OATS,KANSAS,1568,"18,000",10.3750,61,5.5917,2912.748
2017,OATS,KANSAS,1728,"25,000",9.1563,67,5.9323,2910.892
2016,OATS,KANSAS,1824,"30,000",5.5313,62,5.8242,2912.977
2015,OATS,KANSAS,2080,"40,000",7.9688,61,5.8644,2910.717
2014,OATS,KANSAS,1792,"15,000",11.2813,68,5.8667,2901.861
2013,OATS,KANSAS,1344,"20,000",13.2813,67,5.7062,2894.306
2022,BARLEY,KANSAS,1632,"5,000",11.0417,67,5.9405,2936.716
2021,BARLEY,KANSAS,3168,"4,000",10.4167,68,5.9168,2937.946
2020,BARLEY,KANSAS,2448,"6,000",7.7083,64,5.7791,2938.124
2019,BARLEY,KANSAS,1584,"4,000",5.1042,62,5.8274,2912.635
2018,BARLEY,KANSAS,1488,"6,000",6.6667,61,5.5142,2912.748
2015,BARLEY,KANSAS,1872,"8,000",5.3125,67,5.6627,2910.717
2014,BARLEY,KANSAS,1680,"10,000",10.9375,62,5.8639,2901.861
2013,BARLEY,KANSAS,2256,"11,000",9.4167,61,5.6247,2894.306
2022,CORN,KANSAS,6440,"4,440,000",12.5714,68,5.5916,2936.716
2021,CORN,KANSAS,7784,"5,400,000",10.7500,67,5.9763,2937.946
2020,CORN,KANSAS,7504,"5,720,000",7.7679,67,5.6692,2938.124
2019,CORN,KANSAS,7448,"6,020,000",6.3571,68,5.9619,2912.635
2018,CORN,KANSAS,7224,"4,980,000",6.7500,64,5.6901,2912.748
2017,CORN,KANSAS,7392,"5,200,000",7.5000,62,5.6984,2910.892
2016,CORN,KANSAS,7952,"4,920,000",7.0714,61,5.5950,2912.977
2015,CORN,KANSAS,8288,"3,920,000",7.1429,67,5.5259,2910.717
2014,CORN,KANSAS,8344,"3,800,000",7.2321,62,5.8194,2901.861
2013,CORN,KANSAS,7056,"4,000,000",6.9643,61,5.5622,2894.306
2022,WHEAT,KANSAS,2220,"6,600,000",14.5167,68,5.6307,2936.716
2021,WHEAT,KANSAS,3120,"7,000,000",11.2333,67,6.0316,2937.946
2020,WHEAT,KANSAS,2700,"6,250,000",7.5500,67,5.2691,2938.124
2019,WHEAT,KANSAS,3120,"6,700,000",8.2500,68,5.9858,2912.635
2018,WHEAT,KANSAS,2280,"7,300,000",8.0000,64,6.0919,2912.748
2017,WHEAT,KANSAS,2880,"6,950,000",6.8333,62,5.6247,2910.892
2016,WHEAT,KANSAS,3420,"8,200,000",6.7500,61,6.4461,2912.977
2015,WHEAT,KANSAS,2220,"8,700,000",7.6667,67,5.6235,2910.717
2014,WHEAT,KANSAS,1680,"8,800,000",8.9167,62,5.8646,2901.861
2013,WHEAT,KANSAS,2280,"8,450,000",10.8333,61,5.7617,2894.306
2022,CORN,KENTUCKY,8736,"1,330,000",12.0000,70,4.6965,4511.563
2021,CORN,KENTUCKY,10752,"1,420,000",10.3393,68,5.2695,4507.6
2020,CORN,KENTUCKY,10304,"1,360,000",8.0714,70,7.4454,4508.155
2019,CORN,KENTUCKY,9464,"1,450,000",7.0000,69,5.8330,4472.345
2018,CORN,KENTUCKY,9800,"1,220,000",6.4107,68,7.3393,4464.273
2017,CORN,KENTUCKY,9968,"1,220,000",6.0179,68,6.3479,4455.59
2016,CORN,KENTUCKY,8904,"1,400,000",7.2321,65,4.6978,4440.306
2015,CORN,KENTUCKY,9632,"1,310,000",8.4107,70,4.9627,4429.126
2014,CORN,KENTUCKY,8848,"1,430,000",7.6786,71,4.9649,4416.992
2013,CORN,KENTUCKY,9520,"1,430,000",8.7500,70,5.6428,4406.906
2022,WHEAT,KENTUCKY,4800,"375,000",13.6000,68,5.6094,4511.563
2021,WHEAT,KENTUCKY,5220,"350,000",10.6667,70,4.6816,4507.6
2020,WHEAT,KENTUCKY,3780,"340,000",9.2833,69,5.7095,4508.155
2019,WHEAT,KENTUCKY,4560,"330,000",,68,6.4135,4472.345
2018,WHEAT,KENTUCKY,3960,"300,000",8.5833,68,6.0075,4464.273
2017,WHEAT,KENTUCKY,4620,"310,000",7.7333,65,4.9464,4455.59
2016,WHEAT,KENTUCKY,4800,"400,000",6.8333,70,5.5172,4440.306
2015,WHEAT,KENTUCKY,4380,"440,000",8.3833,71,5.9021,4429.126
2014,WHEAT,KENTUCKY,4260,"510,000",10.2667,64,5.7199,4416.992
2013,WHEAT,KENTUCKY,4500,"610,000",11.7500,66,4.5482,4406.906
2022,CORN,LOUISIANA,9520,"435,000",11.8929,74,6.6695,4588.023
2021,CORN,LOUISIANA,10248,"565,000",9.4464,78,4.7509,4627.047
2020,CORN,LOUISIANA,10136,"485,000",6.6786,76,4.9463,4652.022
2019,CORN,LOUISIANA,9240,"545,000",6.8929,74,5.2662,4658.285
2018,CORN,LOUISIANA,9688,"450,000",6.3929,76,7.1096,4664.45
2017,CORN,LOUISIANA,10304,"490,000",,75,5.6170,4673.673
2016,CORN,LOUISIANA,9240,"550,000",7.0536,72,5.6324,4681.346
2015,CORN,LOUISIANA,9576,"390,000",6.9643,74,4.6749,4666.998
2014,CORN,LOUISIANA,10248,"390,000",7.0536,73,7.1618,4645.938
2013,CORN,LOUISIANA,9688,"670,000",6.8750,72,6.6250,4626.04
2018,WHEAT,LOUISIANA,3900,"10,000",7.9500,74,5.0041,4664.45
2017,WHEAT,LOUISIANA,2760,"13,000",7.6500,78,6.3458,4673.673
2016,WHEAT,LOUISIANA,2700,"20,000",6.8167,76,6.2168,4681.346
2015,WHEAT,LOUISIANA,2340,"92,000",6.4167,74,5.9217,4666.998
2014,WHEAT,LOUISIANA,3720,"150,000",8.3000,76,6.0127,4645.938
2013,WHEAT,LOUISIANA,3480,"255,000",10.8667,75,4.6841,4626.04
2022,OATS,MAINE,2688,"25,000",13.4375,70,7.0772,1389.338
2021,OATS,MAINE,2496,"19,000",16.8750,71,6.2088,1378.787
2020,OATS,MAINE,2016,"22,000",9.3750,71,7.0518,1364.517
2019,OATS,MAINE,2432,"19,000",9.2188,74,4.7222,1364.517
2018,OATS,MAINE,2144,"19,000",8.7500,69,6.4181,1340.123
2017,OATS,MAINE,2144,"21,000",8.7500,68,4.8036,1335.743
2016,OATS,MAINE,2272,"22,000",7.1875,77,4.6087,1332.348
2015,OATS,MAINE,2560,"28,000",6.2500,79,5.6115,1329.098
2014,OATS,MAINE,2240,"31,000",7.3438,82,7.3221,1331.217
2013,OATS,MAINE,2144,"26,000",7.6563,82,5.0231,1328.543
2022,BARLEY,MAINE,3312,"10,000",12.6042,85,5.6171,1389.338
2021,BARLEY,MAINE,3936,"10,000",9.7917,79,5.3916,1378.787
2020,BARLEY,MAINE,2592,"14,000",7.2917,76,5.9066,1364.517
2019,BARLEY,MAINE,3936,"14,000",6.6667,70,6.5742,1345.77
2018,BARLEY,MAINE,3504,"16,000",6.0417,71,4.8078,1340.123
2015,BARLEY,MAINE,4080,"12,000",8.1250,71,4.7600,1329.098
2014,BARLEY,MAINE,3264,"12,000",7.3958,74,5.1803,1331.217
2013,BARLEY,MAINE,2544,"17,000",8.6458,69,4.8959,1328.543
2022,BARLEY,MARYLAND,3936,"16,000",10.6250,63,6.4362,6163.981
2021,BARLEY,MARYLAND,4560,"18,000",9.3750,61,7.0661,6175.045
2020,BARLEY,MARYLAND,3504,"21,000",7.2917,59,6.6559,6173.689
2019,BARLEY,MARYLAND,4080,"17,000",6.9792,59,5.9829,6054.954
2018,BARLEY,MARYLAND,3360,"19,000",5.4167,66,5.4579,6042.153
2017,BARLEY,MARYLAND,3648,"27,000",6.0417,68,4.7595,6028.186
2016,BARLEY,MARYLAND,3456,"34,000",5.6042,69,7.3424,6007.014
2015,BARLEY,MARYLAND,3312,"35,000",5.7292,71,4.8208,5988.528
2014,BARLEY,MARYLAND,3696,"45,000",7.5000,71,6.2421,5960.064
2013,BARLEY,MARYLAND,4080,"52,000",8.6042,70,5.0010,5925.197
2022,CORN,MARYLAND,9240,"360,000",11.6607,67,5.5602,6163.981
2021,CORN,MARYLAND,9800,"415,000",11.4107,66,4.7474,6175.045
2020,CORN,MARYLAND,8680,"420,000",10.0000,66,7.3135,6173.689
2019,CORN,MARYLAND,9016,"460,000",7.6786,63,5.6618,6054.954
2018,CORN,MARYLAND,8176,"380,000",6.8571,61,4.6724,6042.153
2017,CORN,MARYLAND,9632,"420,000",7.1786,59,6.4719,6028.186
2016,CORN,MARYLAND,8512,"400,000",5.8929,59,5.3848,6007.014
2015,CORN,MARYLAND,9184,"380,000",5.8571,66,5.8598,5988.528
2014,CORN,MARYLAND,9800,"430,000",6.1786,68,6.9624,5960.064
2013,CORN,MARYLAND,8848,"420,000",6.5536,69,6.1217,5925.197
2022,WHEAT,MARYLAND,4680,"170,000",12.3333,71,6.4217,6163.981
2021,WHEAT,MARYLAND,4740,"160,000",12.2500,71,4.8289,6175.045
2020,WHEAT,MARYLAND,4380,"150,000",9.5000,70,6.9857,6173.689
2019,WHEAT,MARYLAND,4500,"165,000",6.8000,67,4.6036,6054.954
2018,WHEAT,MARYLAND,3780,"200,000",8.1667,66,6.9795,6042.153
2017,WHEAT,MARYLAND,4260,"185,000",7.9667,66,7.0650,6028.186
2016,WHEAT,MARYLAND,3840,"260,000",6.7333,65,5.1652,6007.014
2015,WHEAT,MARYLAND,3840,"270,000",8.1333,64,5.1115,5988.528
2014,WHEAT,MARYLAND,4200,"250,000",8.7000,62,5.3744,5960.064
2013,WHEAT,MARYLAND,4020,"260,000",10.7000,65,5.6714,5925.197
2022,OATS,MICHIGAN,1952,"26,000",15.3125,74,5.6674,10033.281
2021,OATS,MICHIGAN,2016,"20,000",12.1250,72,6.0794,10038.117
2020,OATS,MICHIGAN,1760,"30,000",9.8750,71,6.9319,10070.627
2019,OATS,MICHIGAN,1824,"25,000",11.3438,72,6.8427,10070.627
2018,OATS,MICHIGAN,2016,"50,000",10.3438,73,6.8766,9987.286
2017,OATS,MICHIGAN,1728,"40,000",9.0938,75,6.1510,9976.752
2016,OATS,MICHIGAN,1856,"30,000",7.1250,74,4.5674,9954.117
2015,OATS,MICHIGAN,2144,"50,000",6.1563,73,3.6929,9934.483
2014,OATS,MICHIGAN,2208,"40,000",10.6250,77,4.3717,9932.033
2013,OATS,MICHIGAN,1984,"30,000",11.5000,74,8.3991,9914.802
2022,BARLEY,MICHIGAN,2400,"4,000",12.0833,72,8.8407,10033.281
2021,BARLEY,MICHIGAN,2400,"8,000",9.3750,71,8.1530,10038.117
2020,BARLEY,MICHIGAN,2688,"8,000",8.2292,72,5.2707,10070.627
2019,BARLEY,MICHIGAN,2112,"8,000",6.2500,73,8.0503,9984.795
2018,BARLEY,MICHIGAN,2064,"3,000",5.1042,75,9.6792,9987.286
2015,BARLEY,MICHIGAN,2688,"6,000",6.0417,74,6.9750,9934.483
2014,BARLEY,MICHIGAN,2544,"8,000",8.1042,73,7.3939,9932.033
2013,BARLEY,MICHIGAN,2496,"9,000",9.8958,77,6.6873,9914.802
2022,CORN,MICHIGAN,9408,"1,940,000",11.0000,74,7.8812,10033.281
2021,CORN,MICHIGAN,9744,"1,990,000",10.4643,72,5.8753,10038.117
2020,CORN,MICHIGAN,8568,"1,980,000",8.4286,71,8.2027,10070.627
2019,CORN,MICHIGAN,8232,"1,610,000",6.6607,72,8.9853,9984.795
2018,CORN,MICHIGAN,8512,"1,860,000",6.8929,73,5.8771,9987.286
2017,CORN,MICHIGAN,8904,"1,890,000",7.9821,75,7.7076,9976.752
2016,CORN,MICHIGAN,8792,"2,040,000",5.9821,74,4.5242,9954.117
2015,CORN,MICHIGAN,9072,"2,070,000",6.0536,73,9.9262,9934.483
2014,CORN,MICHIGAN,9016,"2,210,000",6.1429,77,6.4556,9932.033
2013,CORN,MICHIGAN,8680,"2,230,000",6.7857,74,8.0162,9914.802
2022,WHEAT,MICHIGAN,4980,"415,000",12.8500,72,3.7111,10033.281
2021,WHEAT,MICHIGAN,4860,"560,000",10.4000,71,5.4909,10038.117
2020,WHEAT,MICHIGAN,4500,"450,000",8.8667,72,9.2541,10070.627
2019,WHEAT,MICHIGAN,4260,"490,000",8.8833,73,6.0052,9984.795
2018,WHEAT,MICHIGAN,4560,"470,000",7.9167,75,7.4371,9987.286
2017,WHEAT,MICHIGAN,4740,"425,000",6.5000,74,3.8084,9976.752
2016,WHEAT,MICHIGAN,5340,"570,000",6.0333,73,5.8182,9954.117
2015,WHEAT,MICHIGAN,4860,"475,000",6.1500,77,4.5236,9934.483
2014,WHEAT,MICHIGAN,4440,"470,000",9.6833,70,3.5104,9932.033
2013,WHEAT,MICHIGAN,4500,"590,000",10.5833,70,6.0304,9914.802
2022,OATS,MINNESOTA,1952,"140,000",13.5313,71,5.4983,5714.3
2021,OATS,MINNESOTA,1824,"77,000",14.1563,68,4.6114,5717.968
2020,OATS,MINNESOTA,2112,"160,000",8.0000,68,5.5452,5710.578
2019,OATS,MINNESOTA,1984,"100,000",8.2188,71,8.2929,5710.578
2018,OATS,MINNESOTA,1888,"105,000",7.7813,70,3.8280,5608.762
2017,OATS,MINNESOTA,2400,"95,000",6.7188,69,8.8695,5569.283
2016,OATS,MINNESOTA,2176,"120,000",6.3125,68,3.7936,5525.36
2015,OATS,MINNESOTA,2496,"160,000",6.2813,65,4.1932,5484.002
2014,OATS,MINNESOTA,2016,"125,000",10.0625,70,7.6615,5452.665
2013,OATS,MINNESOTA,1824,"105,000",11.8125,71,9.3927,5414.722
2022,BARLEY,MINNESOTA,3456,"55,000",14.7292,71,4.5162,5714.3
2021,BARLEY,MINNESOTA,2640,"37,000",10.7708,68,5.7943,5717.968
2020,BARLEY,MINNESOTA,2256,"50,000",9.0417,68,7.3543,5710.578
2019,BARLEY,MINNESOTA,3216,"55,000",9.1250,71,5.9935,5640.053
2018,BARLEY,MINNESOTA,3648,"50,000",8.7917,70,8.6201,5608.762
2017,BARLEY,MINNESOTA,3648,"68,000",9.0208,69,9.4595,5569.283
2016,BARLEY,MINNESOTA,3168,"79,000",8.7083,68,8.0344,5525.36
2015,BARLEY,MINNESOTA,3696,"120,000",11.1250,65,5.4145,5484.002
2014,BARLEY,MINNESOTA,2496,"60,000",11.2083,70,6.2760,5452.665
2013,BARLEY,MINNESOTA,3312,"75,000",12.9583,71,9.1607,5414.722
2022,CORN,MINNESOTA,10920,"7,490,000",11.1964,71,7.8877,5714.3
2021,CORN,MINNESOTA,9912,"7,790,000",10.5536,68,8.1838,5717.968
2020,CORN,MINNESOTA,10696,"7,510,000",8.0714,68,9.0720,5710.578
2019,CORN,MINNESOTA,9744,"7,250,000",5.8214,71,7.7023,5640.053
2018,CORN,MINNESOTA,10192,"7,460,000",,70,5.8851,5608.762
2017,CORN,MINNESOTA,10864,"7,630,000",7.7321,69,6.1650,5569.283
2016,CORN,MINNESOTA,10808,"8,000,000",6.4821,68,3.5048,5525.36
2015,CORN,MINNESOTA,10528,"7,600,000",6.6786,65,7.3880,5484.002
2014,CORN,MINNESOTA,8736,"7,550,000",6.6964,70,8.3404,5452.665
2013,CORN,MINNESOTA,8904,"8,140,000",8.4107,71,8.6608,5414.722
2022,WHEAT,MINNESOTA,3660,"1,210,000",15.2500,71,3.5588,5714.3
2021,WHEAT,MINNESOTA,2880,"1,160,000",14.8667,68,5.9566,5717.968
2020,WHEAT,MINNESOTA,3180,"1,360,000",8.6667,68,9.4160,5710.578
2019,WHEAT,MINNESOTA,3420,"1,400,000",,71,8.1842,5640.053
2018,WHEAT,MINNESOTA,3540,"1,575,000",8.2167,70,5.1318,5608.762
2017,WHEAT,MINNESOTA,4014,"1,135,000",6.7833,69,6.2941,5569.283
2016,WHEAT,MINNESOTA,3540,"1,268,000",5.3333,68,7.9919,5525.36
2015,WHEAT,MINNESOTA,3594,"1,473,000",7.9000,65,8.9231,5484.002
2014,WHEAT,MINNESOTA,3288,"1,212,000",10.1167,70,6.8785,5452.665
2013,WHEAT,MINNESOTA,3402,"1,184,000",11.6500,71,5.2436,5414.722
2022,CORN,MISSISSIPPI,9240,"565,000",12.2679,76,7.5501,2938.928
2021,CORN,MISSISSIPPI,10136,"700,000",9.9821,73,8.7093,2949.582
2020,CORN,MISSISSIPPI,10080,"490,000",7.1964,71,7.7925,2958.409
2019,CORN,MISSISSIPPI,9744,"615,000",6.8929,72,8.0559,2978.227
2018,CORN,MISSISSIPPI,10360,"460,000",7.3393,71,4.3977,2982.879
2017,CORN,MISSISSIPPI,10584,"500,000",,75,5.9524,2990.674
2016,CORN,MISSISSIPPI,9296,"720,000",8.4464,74,8.5321,2990.595
2015,CORN,MISSISSIPPI,9800,"490,000",8.8929,75,7.2242,2990.231
2014,CORN,MISSISSIPPI,10360,"485,000",9.5714,76,4.9319,2991.892
2013,CORN,MISSISSIPPI,9856,"830,000",10.5179,71,4.6262,2989.839
2022,WHEAT,MISSISSIPPI,3120,"75,000",14.0833,73,5.0260,2938.928
2021,WHEAT,MISSISSIPPI,3540,"70,000",10.2833,72,3.5254,2949.582
2020,WHEAT,MISSISSIPPI,2880,"20,000",9.0333,76,8.8698,2958.409
2019,WHEAT,MISSISSIPPI,2820,"21,000",8.2500,73,9.4069,2978.227
2018,WHEAT,MISSISSIPPI,2940,"30,000",8.6500,71,5.8043,2982.879
2017,WHEAT,MISSISSIPPI,3480,"25,000",7.8000,72,8.3550,2990.674
2016,WHEAT,MISSISSIPPI,2880,"50,000",7.5333,71,8.6349,2990.595
2015,WHEAT,MISSISSIPPI,2880,"120,000",8.8667,75,7.6992,2990.231
2014,WHEAT,MISSISSIPPI,3480,"215,000",9.3667,74,5.2613,2991.892
2013,WHEAT,MISSISSIPPI,3480,"385,000",10.9500,75,9.1128,2989.839
2022,OATS,MISSOURI,1664,"6,000",14.0625,70,4.6057,6177.168
2021,OATS,MISSOURI,1920,"15,000",14.6875,68,7.1160,6170.393
2020,OATS,MISSOURI,1376,"10,000",12.9688,69,7.2141,6154.426
2019,OATS,MISSOURI,1504,"6,000",12.1875,70,9.9351,6154.426
2018,OATS,MISSOURI,1440,"16,000",9.3750,71,8.9141,6125.986
2017,OATS,MISSOURI,2080,"13,000",10.1563,67,8.6396,6111.382
2016,OATS,MISSOURI,1920,"19,000",7.1875,68,8.6215,6091.384
2015,OATS,MISSOURI,2080,"14,000",8.5938,69,5.8385,6075.411
2014,OATS,MISSOURI,2080,"13,000",13.5938,70,3.5320,6059.13
2013,OATS,MISSOURI,1696,"14,000",12.0313,71,7.1853,6042.989
2022,CORN,MISSOURI,9016,"3,110,000",11.9821,70,7.0342,6177.168
2021,CORN,MISSOURI,8904,"3,430,000",10.9821,68,6.6360,6170.393
2020,CORN,MISSOURI,9520,"3,280,000",8.1964,69,6.8282,6154.426
2019,CORN,MISSOURI,8680,"2,980,000",6.5536,70,6.8908,6140.475
2018,CORN,MISSOURI,7840,"3,300,000",,71,7.1651,6125.986
2017,CORN,MISSOURI,9520,"3,250,000",7.5179,67,6.9358,6111.382
2016,CORN,MISSOURI,9128,"3,500,000",6.5893,68,7.1968,6091.384
2015,CORN,MISSOURI,7952,"3,080,000",7.3393,69,6.9901,6075.411
2014,CORN,MISSOURI,10416,"3,380,000",7.3750,70,7.0648,6059.13
2013,CORN,MISSOURI,7616,"3,200,000",9.1429,71,7.1566,6042.989
2022,WHEAT,MISSOURI,3600,"410,000",14.1000,70,6.3650,6177.168
2021,WHEAT,MISSOURI,3900,"490,000",11.4000,68,6.4281,6170.393
2020,WHEAT,MISSOURI,3720,"360,000",9.3000,69,6.6642,6154.426
2019,WHEAT,MISSOURI,3780,"390,000",8.6833,70,6.6377,6140.475
2018,WHEAT,MISSOURI,3540,"520,000",8.5000,71,6.7939,6125.986
2017,WHEAT,MISSOURI,4080,"540,000",7.0000,67,6.8529,6111.382
2016,WHEAT,MISSOURI,4200,"570,000",7.0833,68,7.1216,6091.384
2015,WHEAT,MISSOURI,3180,"610,000",7.5000,69,6.8833,6075.411
2014,WHEAT,MISSOURI,3480,"740,000",10.1667,70,6.4213,6059.13
2013,WHEAT,MISSOURI,3420,"985,000",11.8333,71,6.5445,6042.989
2022,OATS,MONTANA,1216,"24,000",,55,6.4520,1122.878
2021,OATS,MONTANA,1120,"16,000",12.4375,62,6.4893,1106.366
2020,OATS,MONTANA,1440,"41,000",9.7500,55,6.7134,1087.211
2019,OATS,MONTANA,1760,"26,000",9.8125,57,6.5108,1087.211
2018,OATS,MONTANA,1376,"23,000",8.4688,68,6.2874,1061.818
2017,OATS,MONTANA,1504,"18,000",8.9375,61,6.8631,1053.862
2016,OATS,MONTANA,1504,"28,000",10.0000,68,6.7842,1042.137
2015,OATS,MONTANA,1696,"22,000",10.4063,65,6.7694,1031.495
2014,OATS,MONTANA,2208,"16,000",10.3125,60,6.3208,1022.657
2013,OATS,MONTANA,1728,"22,000",8.9688,68,6.7050,1014.158
2022,BARLEY,MONTANA,1968,"840,000",10.2708,55,6.7907,1122.878
2021,BARLEY,MONTANA,1824,"650,000",13.0625,62,7.1303,1106.366
2020,BARLEY,MONTANA,3024,"790,000",9.1667,55,7.0127,1087.211
2019,BARLEY,MONTANA,2832,"760,000",9.2292,57,7.1557,1070.123
2018,BARLEY,MONTANA,2688,"600,000",9.6250,68,6.9912,1061.818
2017,BARLEY,MONTANA,2448,"565,000",9.0417,61,6.2189,1053.862
2016,BARLEY,MONTANA,2880,"780,000",10.6667,68,7.1995,1042.137
2015,BARLEY,MONTANA,2496,"860,000",12.1250,65,6.3899,1031.495
2014,BARLEY,MONTANA,2784,"770,000",11.1042,60,6.6234,1022.657
2013,BARLEY,MONTANA,2496,"830,000",13.1667,68,7.0330,1014.158
2022,CORN,MONTANA,6272,"69,000",12.7857,55,6.3240,1122.878
2021,CORN,MONTANA,5600,"60,000",12.3214,62,6.3976,1106.366
2020,CORN,MONTANA,6104,"61,000",7.8571,55,6.4015,1087.211
2019,CORN,MONTANA,5320,"60,000",6.6071,57,6.9046,1070.123
2018,CORN,MONTANA,4760,"68,000",6.6429,68,6.4786,1061.818
2017,CORN,MONTANA,3920,"65,000",6.0893,61,7.0630,1053.862
2016,CORN,MONTANA,5600,"55,000",8.3750,68,6.9818,1042.137
2015,CORN,MONTANA,6160,"50,000",7.8393,65,6.2271,1031.495
2014,CORN,MONTANA,5600,"75,000",8.5893,60,6.2328,1022.657
2013,CORN,MONTANA,6440,"75,000",9.5179,68,7.1404,1014.158
2022,WHEAT,MONTANA,1698,"4,915,000",15.4000,55,6.4593,1122.878
2021,WHEAT,MONTANA,1332,"4,530,000",14.7333,62,6.5688,1106.366
2020,WHEAT,MONTANA,2502,"5,490,000",8.7333,55,7.1285,1087.211
2019,WHEAT,MONTANA,2544,"5,135,000",7.6167,57,6.4294,1070.123
2018,WHEAT,MONTANA,2298,"5,165,000",8.1667,68,6.2489,1061.818
2017,WHEAT,MONTANA,1638,"4,665,000",7.7167,61,6.6199,1053.862
2016,WHEAT,MONTANA,2544,"4,975,000",6.7333,68,6.3776,1042.137
2015,WHEAT,MONTANA,2106,"5,365,000",7.6667,65,6.4155,1031.495
2014,WHEAT,MONTANA,2226,"5,650,000",8.1667,60,6.3207,1022.657
2013,WHEAT,MONTANA,2340,"5,165,000",11.4167,68,6.9784,1014.158
2022,OATS,NEBRASKA,1632,"18,000",16.8125,66,6.4423,1968.06
2021,OATS,NEBRASKA,1792,"26,000",19.9375,69,7.1844,1964.253
2020,OATS,NEBRASKA,2016,"29,000",8.9063,67,6.4029,1963.273
2019,OATS,NEBRASKA,2016,"18,000",9.6563,65,7.0860,1963.273
2018,OATS,NEBRASKA,2208,"22,000",8.9063,69,6.6986,1925.512
2017,OATS,NEBRASKA,1568,"35,000",8.1875,59,6.5947,1916.998
2016,OATS,NEBRASKA,1920,"25,000",7.0313,59,6.6480,1906.483
2015,OATS,NEBRASKA,2144,"40,000",6.8750,67,7.1200,1892.059
2014,OATS,NEBRASKA,2560,"30,000",9.4063,69,6.9138,1879.955
2013,OATS,NEBRASKA,2080,"25,000",13.0625,65,7.0730,1865.813
2022,CORN,NEBRASKA,9240,"8,820,000",12.0893,66,6.5305,1968.06
2021,CORN,NEBRASKA,10864,"9,560,000",10.6429,69,6.6844,1964.253
2020,CORN,NEBRASKA,10080,"9,840,000",7.9821,67,6.5814,1963.273
2019,CORN,NEBRASKA,10192,"9,810,000",6.2857,65,6.8648,1932.571
2018,CORN,NEBRASKA,10752,"9,300,000",6.1964,69,6.4871,1925.512
2017,CORN,NEBRASKA,10136,"9,300,000",6.3571,59,6.6057,1916.998
2016,CORN,NEBRASKA,9968,"9,550,000",6.1071,59,6.8606,1906.483
2015,CORN,NEBRASKA,10360,"9,150,000",6.5893,67,6.4187,1892.059
2014,CORN,NEBRASKA,10024,"8,950,000",7.0536,69,6.3655,1879.955
2013,CORN,NEBRASKA,9464,"9,550,000",8.2321,65,6.5564,1865.813
2022,WHEAT,NEBRASKA,1920,"820,000",13.9667,66,6.7607,1968.06
2021,WHEAT,NEBRASKA,2940,"840,000",11.4500,69,6.7153,1964.253
2020,WHEAT,NEBRASKA,2460,"830,000",7.7500,67,6.6664,1963.273
2019,WHEAT,NEBRASKA,3420,"970,000",8.5667,65,6.6266,1932.571
2018,WHEAT,NEBRASKA,2940,"1,010,000",8.4667,69,6.7028,1925.512
2017,WHEAT,NEBRASKA,2760,"1,020,000",7.5667,59,7.0110,1916.998
2016,WHEAT,NEBRASKA,3240,"1,310,000",6.9167,59,6.8902,1906.483
